Coach_ID,Coach_Name,Nationality
ALG_1,MEKHLOUFI Rachid ,ALG
ALG_2,SAADANE Rabah ,ALG
ANG_1,GONCALVES Luis ,ANG
ARG_1,BIELSA Marcelo ,ARG
ARG_2,SABELLA Alejandro ,ARG
ARG_3,Marcelo BIELSA ,ARG
ARG_4,MARTINO Gerardo ,ARG
ARG_5,HERRERA Helenio ,ARG
ARG_6,PEKERMAN Jose ,ARG
ARG_7,LA VOLPE Ricardo ,ARG
ARG_8,PEKERMAN Jose ,ARG
ARG_9,SOLARI Jorge ,ARG
ARG_10,SAMPAOLI Jorge ,ARG
ARG_11,BASILE Alfio ,ARG
ARG_12,LORENZO Juan Carlos ,ARG
ARG_13,OLAZAR Francisco ,ARG
ARG_14,PASSARELLA Daniel ,ARG
ARG_15,MENOTTI Cesar Luis ,ARG
ARG_16,PEDERNERA Adolfo ,ARG
ARG_17,DURAND LAGUNA Jose ,ARG
ARG_18,MARADONA Diego ,ARG
ARG_19,BILARDO Carlos ,ARG
ARG_20,CAP Vladislao ,ARG
ARG_21,STABILE Guillermo ,ARG
AUS_1,POSTECOGLOU Ange ,AUS
AUT_1,SCHMIDT Georg ,AUT
AUT_2,ARGAUER Josef ,AUT
AUT_3,HAPPEL Ernst ,AUT
AUT_4,PROHASKA Herbert ,AUT
AUT_5,NAUSCH Walter ,AUT
AUT_6,RAPPAN Karl ,AUT
AUT_7,MEISL Hugo ,AUT
AUT_8,HICKERSBERGER Josef ,AUT
AUT_9,SENEKOWITSCH Helmut ,AUT
BEL_1,WASEIGE Robert ,BEL
BEL_2,VAN HIMST Paul ,BEL
BEL_3,GOETHALS Raymond ,BEL
BEL_4,GOETINCK Hector ,BEL
BEL_5,LEEKENS Georges ,BEL
BEL_6,WILMOTS Marc ,BEL
BEL_7,THYS Guy ,BEL
BIH_1,HALILHODZIC Vahid ,BIH
BIH_2,BLAZEVIC Miroslav ,BIH
BIH_3,OSIM Ivica ,BIH
BIH_4,SUSIC Safet ,BIH
BOL_1,SAUCEDO Ulises ,BOL
BRA_1,FEOLA Vicente ,BRA
BRA_2,MOREIRA Zeze ,BRA
BRA_3,DUNGA ,BRA
BRA_4,FARIA Jose ,BRA
BRA_5,ZICO ,BRA
BRA_6,ZAGALLO Mario ,BRA
BRA_7,MARCOS PAQUETA ,BRA
BRA_8,SCOLARI Luiz Felipe ,BRA
BRA_9,SIMOES Rene ,BRA
BRA_10,COSTA Flavio ,BRA
BRA_11,LUIZ VINHAES ,BRA
BRA_12,DIDI ,BRA
BRA_13,LAZARONI Sebastiao ,BRA
BRA_14,SANTANA Tele ,BRA
BRA_15,TIM ,BRA
BRA_16,PIMENTA Ademar ,BRA
BRA_17,PARREIRA Carlos Alberto ,BRA
BRA_18,GLORIA Otto ,BRA
BRA_19,COUTINHO Claudio ,BRA
BRA_20,CARPEGIANI ,BRA
BRA_21,EVARISTO ,BRA
BRA_22,MOREIRA Aymore ,BRA
BRA_23,DE CARVALHO Pindaro ,BRA
BUL_1,PACHEDZHIEV Georgi ,BUL
BUL_2,VUTSOV Ivan ,BUL
BUL_3,MLADENOV Hristo ,BUL
BUL_4,BOZHKOV Stefan ,BUL
BUL_5,PENEV Dimitar ,BUL
BUL_6,BONEV Hristo ,BUL
CHI_1,BUCCIARDI Arturo ,CHI
CHI_2,RIERA Fernando ,CHI
CHI_3,ALAMOS Luis ,CHI
CHI_4,CARRASCO Hernan ,CHI
CHI_5,SANTIBANEZ Luis Alberto ,CHI
COL_1,MATURANA Francisco ,COL
COL_2,GOMEZ Hernan ,COL
COL_3,SUAREZ Luis ,COL
COL_4,MENDOZA Alexis ,COL
COL_5,PINTO Jorge Luis ,COL
COL_6,RUEDA Reinaldo ,COL
CRC_1,GUIMARAES Alexandre ,CRC
CRO_1,IVANKOVIC Branko ,CRO
CRO_2,JOZIC Mirko ,CRO
CRO_3,KOVAC Niko ,CRO
CRO_4,KRANJCAR Zlatko ,CRO
CUB_1,TAPIA Jose ,CUB
CZE_1,BRUCKNER Karel ,CZE
DEN_1,OLSEN Morten ,DEN
EGY_1,EL GOHARY Mahmoud ,EGY
ENG_1,GLENDENNING Bob ,ENG
ENG_2,CHARLTON Jack ,ENG
ENG_3,HODGSON Roy ,ENG
ENG_4,Roy HODGSON ,ENG
ENG_5,KIMPTON George ,ENG
ENG_6,HODDLE Glenn ,ENG
ENG_7,RAYNOR George ,ENG
ENG_8,WAITERS Tony ,ENG
ENG_9,GREENWOOD Ron ,ENG
ENG_10,ROBSON Bobby ,ENG
ENG_11,BUTLER Jack ,ENG
ENG_12,RAMSEY Alf ,ENG
ENG_13,WINTERBOTTOM Walter ,ENG
ESP_1,CAMACHO Jose Antonio ,ESP
ESP_2,KUBALA Ladislao ,ESP
ESP_3,CLEMENTE Javier ,ESP
ESP_4,DEL BOSQUE Vicente ,ESP
ESP_5,LOPEZ Antonio ,ESP
ESP_6,GARCIA Amadeo ,ESP
ESP_7,SUAREZ Luis ,ESP
ESP_8,BRU Francisco ,ESP
ESP_9,ARAGONES Luis ,ESP
ESP_10,EIZAGUIRRE Guillermo ,ESP
ESP_11,MUNOZ Miguel ,ESP
ESP_12,Xavier AZKARGORTA URIARTE ,ESP
ESP_13,VILLALONGA Jose ,ESP
FRA_1,TROUSSIER Philippe ,FRA
FRA_2,JACQUET Aime ,FRA
FRA_3,MICHEL Henri ,FRA
FRA_4,VINCENT Jean ,FRA
FRA_5,LEMERRE Roger ,FRA
FRA_6,LE ROY Claude ,FRA
FRA_7,METSU Bruno ,FRA
FRA_8,GUERIN Henri ,FRA
FRA_9,BATTEAUX Albert ,FRA
FRA_10,BARREAU Gaston ,FRA
FRA_11,CAUDRON Raoul ,FRA
FRA_12,Paul LE GUEN ,FRA
FRA_13,PIBAROT Pierre ,FRA
FRA_14,DOMENECH Raymond ,FRA
FRA_15,DESCHAMPS Didier ,FRA
FRA_16,LAMOUCHI Sabri ,FRA
FRA_17,HIDALGO Michel ,FRA
FRG_1,HERBERGER Sepp ,FRG
FRG_2,SCHOEN Helmut ,FRG
GER_1,REHHAGEL Otto ,GER
GER_2,PFISTER Otto ,GER
GER_3,VOGTS Berti ,GER
GER_4,BECKENBAUER Franz ,GER
GER_5,NERZ Otto ,GER
GER_6,KLINSMANN Juergen ,GER
GER_7,PIONTEK Sepp ,GER
GER_8,LOEW Joachim ,GER
GER_9,HITZFELD Ottmar ,GER
GER_10,Volker FINKE ,GER
GER_11,Jurgen Klinsmann,GER
GER_12,VOELLER Rudi ,GER
GER_13,DERWALL Jupp ,GER
GER_14,BUSCHNER Georg ,GER
GER_15,SCHAEFER Winni ,GER
GHA_1,APPIAH James ,GHA
GRE_1,PANAGOULIAS Alkis ,GRE
HAI_1,TASSY Antoine ,HAI
HON_1,DE LA PAZ Jose ,HON
HUN_1,ORTH Gyorgy ,HUN
