Year,RoundID,MatchID,Date,Time,Stage,Stadium_ID,Referee_ID,Assistant1_ID,Assistant2_ID,Attendance
1930,201,1090,13/7/1930,3:00 pm,Group 4,URU_1,ARG_1,URU_4,CHI_1,18346
1930,201,1096,13/7/1930,3:00 pm,Group 1,URU_3,URU_6,BEL_2,BRA_1,4444
1930,201,1098,14/7/1930,2:50 pm,Group 3,URU_3,CHI_1,BEL_1,URU_4,2549
1930,201,1093,14/7/1930,12:45 pm,Group 2,URU_1,URU_1,URU_2,FRA_1,24059
1930,201,1085,15/7/1930,4:00 pm,Group 1,URU_1,BRA_1,BOL_1,ROU_1,23409
1930,201,1095,16/7/1930,2:45 pm,Group 1,URU_1,BEL_2,URU_5,BEL_1,9249
1930,201,1097,17/7/1930,2:45 pm,Group 4,URU_1,ARG_1,URU_5,URU_1,18306
1930,201,1092,17/7/1930,12:45 pm,Group 2,URU_1,URU_4,URU_6,CHI_1,18306
1930,201,1099,18/7/1930,2:30 pm,Group 3,URU_2,BEL_1,FRA_1,BEL_2,57735
1930,201,1094,19/7/1930,12:50 pm,Group 1,URU_2,URU_1,URU_6,BRA_1,2000
1930,201,1086,19/7/1930,3:00 pm,Group 1,URU_2,BOL_1,URU_3,ROU_1,42100
1930,201,1089,20/7/1930,3:00 pm,Group 4,URU_2,URU_2,ARG_1,URU_6,12000
1930,201,1091,20/7/1930,1:00 pm,Group 2,URU_2,FRA_1,URU_4,MEX_1,25466
1930,201,1100,21/7/1930,2:50 pm,Group 3,URU_2,BRA_1,CHI_1,BOL_1,70022
1930,201,1084,22/7/1930,2:45 pm,Group 1,URU_2,BEL_1,BEL_2,BOL_1,41459
1930,202,1088,26/7/1930,2:45 pm,Semi-finals,URU_2,BEL_1,MEX_1,CHI_1,72886
1930,202,1101,27/7/1930,2:45 pm,Semi-finals,URU_2,BRA_1,BOL_1,FRA_1,79867
1930,405,1087,30/7/1930,2:15 pm,Final,URU_2,BEL_1,BOL_1,BEL_2,68346
1934,204,1135,27/5/1934,4:30 pm,Preliminary round,ITA_15,SUI_1,ESP_1,TCH_1,25000
1934,204,1119,27/5/1934,4:30 pm,Preliminary round,ITA_16,ITA_7,ITA_12,ITA_10,9000
1934,204,1111,27/5/1934,4:30 pm,Preliminary round,ITA_10,GER_1,ITA_8,HUN_1,21000
