Match_ID,Home_Team,Home_Team_Goals,Away_Team_Goals,Away_Team,Win_conditions,Half_time_Home_Goals,Half_time_Away_Goals
1096,FRA,4,1,MEX, ,3,0
1090,USA,3,0,BEL, ,2,0
1093,YUG,2,1,BRA, ,2,0
1098,ROU,3,1,PER, ,1,0
1085,ARG,1,0,FRA, ,0,0
1095,CHI,3,0,MEX, ,1,0
1092,YUG,4,0,BOL, ,0,0
1097,USA,3,0,PAR, ,2,0
1099,URU,1,0,PER, ,0,0
1094,CHI,1,0,FRA, ,0,0
1086,ARG,6,3,MEX, ,3,1
1091,BRA,4,0,BOL, ,1,0
1089,PAR,1,0,BEL, ,1,0
1100,URU,4,0,ROU, ,4,0
1084,ARG,3,1,CHI, ,2,1
1088,ARG,6,1,USA, ,1,0
1101,URU,6,1,YUG, ,3,1
1087,URU,4,2,ARG, ,1,2
1104,AUT,3,2,FRA,Austria win after extra time ,0,0
1119,HUN,4,2,EGY, ,2,2
1133,SUI,3,2,NED, ,2,1
1102,SWE,3,2,ARG, ,1,1
1108,GER,5,2,BEL, ,1,2
1111,ESP,3,1,BRA, ,3,0
1135,ITA,7,1,USA, ,3,0
1141,TCH,2,1,ROU, ,0,1
1143,TCH,3,2,SUI, ,1,1
1129,GER,2,1,SWE, ,0,0
1122,ITA,1,1,ESP, ,0,0
1106,AUT,2,1,HUN, ,1,0
1123,ITA,1,0,ESP, ,1,0
1107,ITA,1,0,AUT, ,1,0
1130,TCH,3,1,GER, ,1,0
1105,GER,3,2,AUT, ,3,1
1134,ITA,2,1,TCH,Italy win after extra time ,0,0
1165,SUI,1,1,GER, ,0,0
1173,HUN,6,0,INH, ,4,0
1146,FRA,3,1,BEL, ,2,1
1156,CUB,3,3,ROU, ,0,0
1179,ITA,2,1,NOR,Italy win after extra time ,0,0
1150,BRA,6,5,POL,Brazil win after extra time ,0,0
1172,TCH,3,0,NED,Czechoslovakia win after extra time ,0,0
1157,CUB,2,1,ROU, ,0,1
1166,SUI,4,2,GER, ,1,2
1152,BRA,1,1,TCH, ,0,0
1175,HUN,2,0,SUI, ,1,0
1158,SWE,8,0,CUB, ,4,0
1164,ITA,3,1,FRA, ,1,1
1153,BRA,2,1,TCH, ,0,1
1176,HUN,5,1,SWE, ,3,1
1149,ITA,2,1,BRA, ,0,0
1151,BRA,4,2,SWE, ,1,2
1174,ITA,4,2,HUN, ,3,1
1187,BRA,4,0,MEX, ,1,0
1192,ENG,2,0,CHI, ,1,0
1208,ESP,3,1,USA, ,0,1
1219,SWE,3,2,ITA, ,2,1
1230,YUG,3,0,SUI, ,0,0
1188,BRA,2,2,SUI, ,2,1
1225,YUG,4,1,MEX, ,2,0
1193,ESP,2,0,CHI, ,2,0
1228,SWE,2,2,PAR, ,2,1
1202,USA,1,0,ENG, ,1,0
1191,BRA,2,0,YUG, ,1,0
1199,ESP,1,0,ENG, ,0,0
1218,ITA,2,0,PAR, ,1,0
1185,URU,8,0,BOL, ,4,0
1222,SUI,2,1,MEX, ,2,0
1194,CHI,5,2,USA, ,2,0
1207,URU,2,2,ESP, ,1,2
1189,BRA,7,1,SWE, ,3,0
1186,BRA,6,1,ESP, ,3,0
1231,URU,3,2,SWE, ,1,2
1206,SWE,3,1,ESP, ,2,0
1190,URU,2,1,BRA, ,0,0
1315,URU,2,0,TCH, ,0,0
1236,AUT,1,0,SCO, ,1,0
1249,BRA,5,0,MEX, ,4,0
1276,YUG,1,0,FRA, ,1,0
1283,FRG,4,1,TUR, ,1,1
1294,HUN,9,0,KOR, ,4,0
1240,ENG,4,4,BEL, ,0,0
1300,SUI,2,1,ITA, ,1,1
1313,URU,7,0,SCO, ,2,0
1238,AUT,5,0,TCH, ,4,0
1275,FRA,3,2,MEX, ,1,0
1252,BRA,1,1,YUG, ,0,0
1277,HUN,8,3,FRG, ,3,1
1304,TUR,7,0,KOR, ,4,0
1263,ENG,2,0,SUI, ,1,0
1243,ITA,4,1,BEL, ,1,0
1284,FRG,7,2,TUR, ,3,1
1301,SUI,4,1,ITA, ,1,0
1264,URU,4,2,ENG, ,2,1
1237,AUT,7,5,SUI, ,5,4
1285,FRG,2,0,YUG, ,1,0
1248,HUN,4,2,BRA, ,2,1
1233,FRG,6,1,AUT, ,1,0
1295,HUN,4,2,URU,Hungary win after extra time ,0,0
1239,AUT,3,1,URU, ,1,1
1278,FRG,3,2,HUN, ,2,2
1415,SWE,3,0,MEX, ,1,0
1372,URS,2,2,ENG, ,1,0
1323,ARG,1,3,FRG, ,1,2
1407,HUN,1,1,WAL, ,1,1
1386,FRA,7,3,PAR, ,2,2
1434,YUG,1,1,SCO, ,1,0
1326,BRA,3,0,AUT, ,1,0
1421,NIR,1,0,TCH, ,1,0
1339,BRA,0,0,ENG, ,0,0
1418,MEX,1,1,WAL, ,0,1
1423,PAR,3,2,SCO, ,2,1
1388,YUG,3,2,FRA, ,1,1
1332,URS,2,0,AUT, ,1,0
1391,FRG,2,2,TCH, ,0,2
1324,ARG,3,1,NIR, ,1,1
1406,SWE,2,1,HUN, ,1,0
1438,SWE,0,0,WAL, ,0,0
1344,BRA,2,0,URS, ,1,0
1389,FRG,2,2,NIR, ,1,1
1403,HUN,4,0,MEX, ,1,0
1426,PAR,3,3,YUG, ,1,2
1387,FRA,2,1,SCO, ,2,0
1327,ENG,2,2,AUT, ,0,1
1325,TCH,6,1,ARG, ,3,0
1373,URS,1,0,ENG, ,0,0
1422,NIR,2,1,TCH,Northern Ireland win after extra time ,0,0
1408,WAL,2,1,HUN, ,0,1
1345,BRA,1,0,WAL, ,0,0
1392,FRG,1,0,YUG, ,1,0
1437,SWE,2,0,URS, ,0,0
1385,FRA,4,0,NIR, ,1,0
1390,SWE,3,1,FRG, ,1,1
1340,BRA,5,2,FRA, ,2,1
1382,FRA,6,3,FRG, ,3,1
1343,BRA,5,2,SWE, ,2,1
1479,URU,2,1,COL, ,0,1
1461,BRA,2,0,MEX, ,0,0
1447,ARG,1,0,BUL, ,1,0
1473,CHI,3,1,SUI, ,1,1
1563,URS,2,0,YUG, ,0,0
1498,TCH,1,0,ESP, ,0,0
1490,HUN,2,1,ENG, ,1,0
