Stadium_ID,Stadium_Name,City,Country_ID
ARG_1,Jose Amalfitani,Buenos Aires,ARG
ARG_2,Estadio Oles ni,Cordoba,ARG
ARG_3,San Martin,Mendoza,ARG
ARG_4,El Monumental - Estadio Monumental Antonio Vespuci,Buenos Aires,ARG
ARG_5,Estadio JosoMar Estadio Mo,Mar Del Plata,ARG
ARG_6,Arroyito - Estadio Dr. Lisandro de la Torre,Rosario,ARG
ARG_7,Estadio Jose Maria Minella,Mar Del Plata,ARG
ARG_8,Estadio Olimpico Chateau Carreras,Cordoba,ARG
BRA_1,Pacaembu,Sao Paulo,BRA
BRA_10,Estadio das Dunas,Natal,BRA
BRA_11,Arena Fonte Nova,Salvador,BRA
BRA_12,Estadio Nacional,Brasilia,BRA
BRA_13,Arena Amazonia,Manaus,BRA
BRA_14,Estadio Beira-Rio,Porto Alegre,BRA
BRA_15,Arena da Baixada,Curitiba,BRA
BRA_16,Estadio do Maracana,Rio De Janeiro,BRA
BRA_17,Arena Pantanal,Cuiaba,BRA
BRA_18,Arena de Sao Paulo,Sao Paulo,BRA
BRA_19,Maracana-Estadio Jornalista Mario Filho,Rio De Janeiro,BRA
BRA_2,Durival de Brito,Curitiba,BRA
BRA_3,Maracano- Estitoio Dr. Lisandro de la Torr,Rio De Janeiro,BRA
BRA_4,Ilha do Retiro,Recife,BRA
BRA_5,Eucaliptos,Porto Alegre,BRA
BRA_6,Independencia,Belo Horizonte,BRA
BRA_7,Estadio Mineirao,Belo Horizonte,BRA
BRA_8,Estadio Castelao,Fortaleza,BRA
BRA_9,Arena Pernambuco,Recife,BRA
CHI_1,Nacional,Santiago De Chile,CHI
CHI_2,Estadio El Teniente-Codelco,Rancagua,CHI
CHI_3,Carlos Dittborn,Arica,CHI
CHI_4,Estadio Sausalito,Vina Del Mar,CHI
ENG_1,Hillsborough,Sheffield,ENG
ENG_2,Goodison Park,Liverpool,ENG
ENG_3,Ayresome Park,Middlesbrough,ENG
ENG_4,Wembley Stadium,London,ENG
ENG_5,Old Trafford Stadium,Manchester,ENG
ENG_6,Villa Park,Birmingham,ENG
ENG_7,White City,London,ENG
ENG_8,Roker Park Ground,Sunderland,ENG
ESP_1,Santiago Bernabeu,Madrid,ESP
ESP_10,Ramon Sanchez Pizjuan,Seville,ESP
ESP_11,Riazor,La Coru nche,ESP
ESP_12,Camp Nou,Barcelona,ESP
ESP_13,Estadio Municipal de Balacondr,Vigo,ESP
ESP_14,El Molinon,Gijon,ESP
ESP_15,San Mames,Bilbao,ESP
ESP_16,Nuevo Estadio,Elche,ESP
ESP_17,La Rosaleda,Malaga,ESP
ESP_2,Jose Zorrilla,Valladolid,ESP
ESP_3,La Romareda,Zaragoza,ESP
ESP_4,Luis Casanova,Valencia,ESP
ESP_5,Carlos Tartiere,Oviedo,ESP
ESP_6,Vicente Calderon,Madrid,ESP
ESP_7,Sarria,Barcelona,ESP
ESP_8,Jose Rico Perez,Alicante,ESP
ESP_9,Benito Villamarin,Seville,ESP
FRA_1,La Mosson,Montpellier,FRA
FRA_10,Stade Olympique,Colombes,FRA
FRA_11,Velodrome Municipale,Reims,FRA
FRA_12,Stade Vme Munici,Marseilles,FRA
FRA_13,Stade du Parc Lescure,Bordeaux,FRA
FRA_14,Cavee Verte,Le Havre,FRA
FRA_15,Stade de la Meinau,Strasbourg,FRA
FRA_16,Parc des Princes,Paris,FRA
FRA_17,Stade Velodrome,Marseilles,FRA
FRA_2,Stade de France,Saint-Denis,FRA
FRA_3,Fort Carree,Antibes,FRA
