Year,Host_Country_ID,Winner_Country_ID,RunnersUp_Country_ID,Third_Country_ID,Fourth_Country_ID
1930,URU,URU,ARG,USA,YUG
1934,ITA,ITA,TCH,GER,AUT
1938,FRA,ITA,HUN,BRA,SWE
1950,BRA,URU,BRA,SWE,ESP
1954,SUI,FRG,HUN,AUT,URU
1958,SWE,BRA,SWE,FRA,FRG
1962,CHI,BRA,TCH,CHI,YUG
1966,ENG,ENG,FRG,POR,URS
1970,MEX,BRA,ITA,FRG,URU
1974,GER,FRG,NED,POL,BRA
1978,ARG,ARG,NED,BRA,ITA
1982,ESP,ITA,FRG,POL,FRA
1986,MEX,ARG,FRG,FRA,BEL
1990,ITA,FRG,ARG,ITA,ENG
1994,USA,BRA,ITA,SWE,BUL
1998,FRA,FRA,BRA,CRO,NED
2002,JPN,BRA,GER,TUR,KOR
2006,GER,ITA,FRA,GER,POR
2010,RSA,ESP,NED,GER,URU
2014,BRA,GER,ARG,NED,BRA
