Station,Location,Capacity (MW),Fuel type,Type,Year,Status
Hekinan (碧南火力発電所),Aichi,4100,Coal,Non-renewable,,
Hitachinaka (常陸那珂火力発電所),Ibaraki,2000,Coal,Non-renewable,,
Ishikawa,Okinawa,312,Coal,Non-renewable,,
Kashima,Ibaraki,507,Coal,Non-renewable,,
Kin,Okinawa,440,Coal,Non-renewable,,
Maizuru (舞鶴発電所),Kyoto,1800,Coal,Non-renewable,,
Matsuura,Saga,2700,Coal,Non-renewable,,
Misumi,Shimane,1000,Coal,Non-renewable,,
Naie (奈井江発電所),"Naie, Hokkaido",350,Coal,Non-renewable,,
Nakoso,Fukushima,1625,Coal,Non-renewable,,
Nanao-Ohta,Ishikawa,1200,Coal,Non-renewable,,
Niihamanishi (新居浜西火力発電所),"Niihama, Ehime",150,Coal,Non-renewable,,
Reihoku (苓北発電所),Kumamoto,1400,Coal,Non-renewable,,
Sakata,Yamagata,700,Coal,Non-renewable,,
Sendai,Miyagi,525,Coal,Non-renewable,,
Sunagawa (砂川発電所),Hokkaido,250,Coal,Non-renewable,,
Tomato-Atsuma (苫東厚真発電所),"Tomakomai, Hokkaido",1650,Coal,Non-renewable,,
Atsumi (渥美火力発電所),Aichi,2400,Oil,Non-renewable,,
Date (伊達発電所),Hokkaido,700,Oil,Non-renewable,,
Hirono (広野火力発電所),"Hirono, Fukushima",4400,Oil,Non-renewable,,
Kashima (鹿島火力発電所),"Kamisu, Ibaraki",5204,Oil,Non-renewable,,
Oi (大井火力発電所),"Shinagawa, Tokyo",1050,Oil,Non-renewable,,
Shiriuchi (知内発電所),"Oshima, Hokkaido",700,Oil,Non-renewable,,
Taketoyo (武豊火力発電所),Aichi,1345,Oil,Non-renewable,,
Tomakomai (苫小牧発電所),"Tomakomai, Hokkaido",250,Oil,Non-renewable,,
Onbetsu (音別発電所),"Kushiro, Hokkaido",280,Diesel,Non-renewable,,
Anegasaki (姉崎火力発電所),Chiba,3600,Gas,Non-renewable,,
Chiba (千葉火力発電所),Chiba,3882,Gas,Non-renewable,,
Chita (知多火力発電所),Aichi,3966,Gas,Non-renewable,,
Chita II (知多第二火力発電所),Aichi,1708,Gas,Non-renewable,,
Futtsu (富津火力発電所),Chiba,5040,Gas,Non-renewable,,
Goi (五井火力発電所),Chiba,1886,Gas,Non-renewable,,
Higashi-Ogishima (東扇島火力発電所),Kanagawa,2000,Gas,Non-renewable,,
Himeji (姫路発電所),Hyogo,3992,Gas,Non-renewable,,
Kawagoe (川越火力発電所),Mie,4802,Gas,Non-renewable,,
Minami-Yokohama (南横浜火力発電所),Kanagawa,1150,Gas,Non-renewable,,
Nanko (南港発電所),Osaka,1800,Gas,Non-renewable,,
Sakaiko (堺港発電所),Osaka,2000,Gas,Non-renewable,,
Shinagawa (品川火力発電所),Tokyo,1140,Gas,Non-renewable,,
Shin-Nagoya (新名古屋火力発電所),Aichi,2992,Gas,Non-renewable,,
Sodegaura (袖ケ浦火力発電所),Chiba,3600,Gas,Non-renewable,,
Yokkaichi (四日市火力発電所),Mie,1245,Gas,Non-renewable,,
Yokohama (横浜火力発電所),Kanagawa,3325,Gas,Non-renewable,,
Yokosuka (横須賀火力発電所),Kanagawa,230,Gas,Non-renewable,,
Genkai Nuclear Power Plant (玄海原子力発電所),Saga,3478,Nuclear,Nuclear,,Operational
Ikata Nuclear Power Plant (伊方発電所),Ehime,2022,Nuclear,Nuclear,,Operational
Sendai Nuclear Power Plant (川内原子力発電所),Kagoshima,1780,Nuclear,Nuclear,,Operational
