Name,Location,Country,Capacity (MW),Fuel Type,Type,Year,Owner
PacificLight Power,,Singapore,800,Gas,Non-renewable,2014,PacificLight Power Pte Ltd
SembCorp Cogen @ Banyan,,Singapore,400,Gas,Non-renewable,2014,SembCorp Cogen Pte Ltd
Pulau Sakra Power Station,,Singapore,815,Gas,Non-renewable,2001,SembCorp Cogen Pte Ltd
Senoko Power Station,,Singapore,2800,Gas,Non-renewable,2004,Senoko Energy Pte Ltd
Tuas Power Plant,,Singapore,1875.9,Gas,Non-renewable,2008,Tuas Power Generation Pte Ltd
Jurong Power Station,,Singapore,210,Gas,Non-renewable,1986,YTL PowerSeraya Pte Ltd
Pulau Seraya Power Station,,Singapore,1540,Gas,Non-renewable,2006,YTL PowerSeraya Pte Ltd
Keppel Merlimau Cogen Power Station,,Singapore,1340,Gas,Non-renewable,2010,Keppel Merlimau Cogen Pte Ltd
Senoko Power Station,,Singapore,500,Oil,Non-renewable,1983,Senoko Energy Pte Ltd
Tuas Power Station,,Singapore,600,Oil,Non-renewable,1999,Tuas Power Ltd
Pulau Seraya Power Station,,Singapore,1500,Oil,Non-renewable,1990,YTL PowerSeraya Pte Ltd
Keppel Seghers Tuas Waste-to-Energy Plant,,Singapore,22,Waste-to-Energy,Renewable,2009,Keppel Seghers Tuas Waste-to-Energy Plant Pte Ltd
Senoko Incineration Plant,,Singapore,55,Waste-to-Energy,Renewable,1993,Senoko Waste-To-Energy Pte Ltd
Tuas Incineration Plant,,Singapore,47.8,Waste-to-Energy,Renewable,1987,National Environment Agency
Tuas South Incineration Plant,,Singapore,132,Waste-to-Energy,Renewable,2000,National Environment Agency
