eventid,iyear,imonth,iday,extended,country,region,latitude,longitude,specificity,vicinity,crit1,crit2,crit3,multiple,success,suicide,attacktype1,attacktype2,targtype1,targsubtype1,natlty1,targtype2,targsubtype2,natlty2,gname,individual,nperps,nperpcap,claimed,claimmode,weaptype1,weapsubtype1,weaptype2,weapsubtype2,nkill,nkillus,nkillter,nwound,nwoundus,nwoundte,property,propextent,propvalue,ishostkid,nhostkid,nhostkidus,nhours,ndays,divert,kidhijcountry,ransom,ransomamt,ransomamtus,ransompaid,ransompaidus,hostkidoutcome,nreleased,INT_LOG,INT_IDEO,INT_MISC,INT_ANY
1.99802E+11,1998,2,6,0,186,6,6.941837,79.861687,1,0,1,1,1,0,1,1,3,,4,36,186,,,,Liberation Tigers of Tamil Eelam (LTTE),0,1,0,0,,6,13,,,9,0,1,15,0,0,0,,,0,,,,,,,,,,,,,,0,0,0,0
1.99803E+11,1998,3,5,0,186,6,6.941837,79.861687,1,0,1,1,1,1,1,1,3,,19,99,186,,,,Liberation Tigers of Tamil Eelam (LTTE),0,,3,0,,6,13,,,37,0,1,260,0,0,1,2,,0,,,,,,,,,,,,,,0,0,0,0
1.99803E+11,1998,3,9,0,186,6,7.775413,81.606247,1,0,1,1,1,0,1,0,3,,14,73,186,,,,Liberation Tigers of Tamil Eelam (LTTE),0,,0,0,,6,16,,,6,0,0,30,0,0,1,3,,0,,,,,,,,,,,,,,0,0,0,0
1.99803E+11,1998,3,9,0,186,6,8.577826,81.218719,1,0,1,1,1,0,1,0,3,,3,22,186,,,,Liberation Tigers of Tamil Eelam (LTTE),0,,0,0,,6,11,,,3,0,0,5,0,0,1,3,,0,,,,,,,,,,,,,,0,0,0,0
1.99805E+11,1998,5,17,0,186,6,9.666399,80.020477,1,0,1,1,1,0,1,0,1,,2,18,186,,,,Liberation Tigers of Tamil Eelam (LTTE),0,2,,1,10,5,5,,,2,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,0,0,0,0
1.99807E+11,1998,7,27,0,186,6,6.941837,79.861687,1,1,1,1,1,0,0,0,3,,7,46,999,,,,Liberation Tigers of Tamil Eelam (LTTE),0,2,2,0,,6,17,,,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,0,1,1,1
1.99906E+11,1999,6,1,0,186,6,8.964041,80.787941,1,0,1,1,1,0,1,0,2,,14,67,186,,,,Liberation Tigers of Tamil Eelam (LTTE),0,,0,0,,5,5,,,11,0,0,6,0,0,0,,,0,,,,,,,,,,,,,,0,0,0,0
1.99907E+11,1999,7,5,0,186,6,8.665596,80.296238,1,0,1,1,1,0,1,0,3,,16,90,186,,,,Liberation Tigers of Tamil Eelam (LTTE),0,,0,0,,6,14,,,0,0,0,0,0,0,1,3,,0,,,,,,,,,,,,,,0,0,0,0
1.99907E+11,1999,7,5,0,186,6,8.973818,80.527176,1,1,1,1,1,0,1,0,3,,3,25,186,,,,Liberation Tigers of Tamil Eelam (LTTE),0,,0,0,,6,8,,,1,0,0,3,0,0,1,3,,0,,,,,,,,,,,,,,0,0,0,0
1.99907E+11,1999,7,25,0,186,6,8.577826,81.218719,1,0,1,1,1,0,1,1,3,,11,58,186,,,,Liberation Tigers of Tamil Eelam (LTTE),0,2,0,0,,6,13,,,2,0,2,0,0,0,1,2,,0,,,,,,,,,,,,,,0,0,0,0
1.99907E+11,1999,7,29,0,186,6,6.941837,79.861687,1,0,1,1,1,0,1,1,3,,2,15,186,,,,Liberation Tigers of Tamil Eelam (LTTE),0,1,0,0,,6,13,,,2,0,1,2,0,0,1,3,,0,,,,,,,,,,,,,,0,0,0,0
1.99908E+11,1999,8,4,0,186,6,8.792316,80.466026,1,0,1,1,1,0,1,1,3,,3,23,186,,,,Liberation Tigers of Tamil Eelam (LTTE),0,,0,0,,6,13,,,15,0,1,30,0,0,1,3,,0,,,,,,,,,,,,,,0,0,0,0
1.99909E+11,1999,9,26,0,186,6,8.885503,80.276733,4,0,1,1,1,0,1,0,3,4,11,58,44,,,,Liberation Tigers of Tamil Eelam (LTTE),0,,0,0,,6,11,5,5,0,0,0,0,0,0,1,3,,0,,,,,,,,,,,,,,0,1,1,1
1.99911E+11,1999,11,10,0,186,6,8.273502,80.500775,1,0,1,1,1,0,1,0,2,,14,67,186,,,,Liberation Tigers of Tamil Eelam (LTTE),0,,0,0,,5,5,,,0,0,0,0,0,0,-9,4,,0,,,,,,,,,,,,,,0,0,0,0
1.99912E+11,1999,12,13,0,186,6,9.659069,80.131693,1,0,1,1,1,0,1,0,3,,4,27,186,3,22,186,Liberation Tigers of Tamil Eelam (LTTE),0,-99,0,1,7,6,11,,,1,0,0,99,0,0,1,4,-99,0,,,,,,,,,,,,,,0,0,0,0
2.00001E+11,2000,1,5,0,186,6,6.941837,79.861687,1,0,1,1,1,0,1,1,3,,2,18,186,,,,Liberation Tigers of Tamil Eelam (LTTE),0,1,0,0,,6,13,,,11,0,1,25,0,0,-9,,,0,,,,,,,,,,,,,,0,0,0,0
2.00001E+11,2000,1,24,0,186,6,7.612269,81.70897,1,0,1,1,1,0,1,0,9,,14,77,186,,,,Liberation Tigers of Tamil Eelam (LTTE),0,-99,-99,0,,13,,,,14,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,0,0,0,0
2.00002E+11,2000,2,8,0,186,6,6.941837,79.861687,1,0,1,1,1,0,1,0,3,,19,99,186,14,71,186,Liberation Tigers of Tamil Eelam (LTTE),0,-99,0,0,,6,16,,,3,0,0,42,0,0,1,4,-99,0,,,,,,,,,,,,,,0,0,0,0
2.00002E+11,2000,2,26,0,186,6,8.345185,80.388133,1,0,1,1,1,0,1,0,3,,2,18,186,,,,Liberation Tigers of Tamil Eelam (LTTE),0,2,0,0,,6,7,,,0,0,0,1,0,0,0,,,0,,,,,,,,,,,,,,0,0,0,0
2.00003E+11,2000,3,1,0,186,6,9.666399,80.020477,1,0,1,1,1,0,1,0,1,,2,15,186,2,15,186,Liberation Tigers of Tamil Eelam (LTTE),0,2,0,0,,5,5,,,1,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,0,0,0,0
2.00005E+11,2000,5,15,0,186,6,9.666399,80.020477,1,0,1,1,1,0,1,0,3,,14,71,186,,,,Liberation Tigers of Tamil Eelam (LTTE),0,-99,0,0,,6,11,,,6,0,0,18,0,0,-9,,,0,,,,,,,,,,,,,,0,0,0,0
2.00005E+11,2000,5,23,0,186,6,8.351263,81.006993,1,0,1,1,1,0,0,1,1,,2,15,186,,,,Liberation Tigers of Tamil Eelam (LTTE),0,2,0,0,,6,13,6,7,2,0,2,6,0,0,0,,,0,,,,,,,,,,,,,,0,0,0,0
2.00005E+11,2000,5,30,0,186,6,8.757816,80.487907,1,0,1,1,1,0,1,0,3,,3,25,186,,,,Liberation Tigers of Tamil Eelam (LTTE),0,,,-9,,6,8,,,5,0,0,20,0,0,1,4,,0,,,,,,,,,,,,,,0,0,0,0
2.00006E+11,2000,6,2,0,186,6,9.659069,80.131693,1,0,1,1,1,0,1,0,3,,4,34,186,,,,Liberation Tigers of Tamil Eelam (LTTE),0,,,0,,6,11,,,15,0,15,3,0,0,-9,,,0,,,,,,,,,,,,,,0,0,0,0
2.00006E+11,2000,6,18,0,186,6,7.301756,81.67473,3,0,1,1,1,0,1,0,3,,3,25,186,,,,Liberation Tigers of Tamil Eelam (LTTE),0,,0,0,,6,12,,,1,0,0,2,0,0,0,,,0,,,,,,,,,,,,,,0,0,0,0
2.00007E+11,2000,7,20,0,186,6,8.757816,80.487907,1,0,1,1,1,0,1,0,7,,19,99,186,,,,Liberation Tigers of Tamil Eelam (LTTE),0,,0,0,,8,18,,,0,0,0,0,0,0,1,3,,0,,,,,,,,,,,,,,0,0,0,0
2.00008E+11,2000,8,16,0,186,6,8.757816,80.487907,1,0,1,1,1,0,1,1,3,,4,34,186,14,71,186,Liberation Tigers of Tamil Eelam (LTTE),0,1,0,0,,6,13,,,2,0,1,6,0,0,1,4,,0,,,,,,,,,,,,,,0,0,0,0
2.0001E+11,2000,10,19,0,186,6,6.941837,79.861687,1,0,1,1,1,0,1,1,3,,2,15,186,14,,186,Liberation Tigers of Tamil Eelam (LTTE),0,1,0,0,,6,13,,,4,0,1,21,3,0,1,3,,0,,,,,,,,,,,,,,0,0,0,0
2.00011E+11,2000,11,23,0,186,6,8.457907,81.268402,1,0,1,1,1,0,1,0,3,,8,49,186,19,101,186,Liberation Tigers of Tamil Eelam (LTTE),0,,0,0,,6,11,,,2,0,0,10,0,0,-9,,,0,,,,,,,,,,,,,,0,0,0,0
2.00103E+11,2001,3,3,0,186,6,8.964041,80.787941,1,1,1,1,1,0,1,0,9,,14,72,186,,,,Liberation Tigers of Tamil Eelam (LTTE),0,-99,0,0,,13,,,,4,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,0,0,0,0
2.00107E+11,2001,7,24,0,186,6,7.180155,79.884252,1,0,1,1,1,0,1,1,3,,6,44,186,4,29,186,Liberation Tigers of Tamil Eelam (LTTE),0,14,0,0,,6,13,6,11,21,0,14,12,0,0,1,2,350000000,0,,,,,,,,,,,,,,0,1,1,1
2.00108E+11,2001,8,1,0,186,6,8.980118,79.912462,1,0,1,1,1,0,1,0,2,,14,67,186,,,,Liberation Tigers of Tamil Eelam (LTTE),0,,0,0,,5,5,,,1,0,0,1,0,0,0,,,0,,,,,,,,,,,,,,0,0,0,0
2.00108E+11,2001,8,11,0,186,6,7.939525,81.000963,3,0,1,1,1,0,1,0,2,,14,67,186,,,,Liberation Tigers of Tamil Eelam (LTTE),0,-99,0,0,,5,5,,,2,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,0,0,0,0
2.00108E+11,2001,8,12,0,186,6,7.775413,81.606247,1,0,1,1,1,0,1,0,7,,15,86,186,,,,Liberation Tigers of Tamil Eelam (LTTE),0,3,0,0,,5,5,,,3,0,0,6,0,0,1,3,,0,,,,,,,,,,,,,,0,0,0,0
2.00108E+11,2001,8,21,0,186,6,7.301756,81.67473,1,0,1,1,1,0,1,0,7,,3,22,186,,,,Liberation Tigers of Tamil Eelam (LTTE),0,,,0,,5,5,,,23,0,6,27,0,9,1,3,,0,,,,,,,,,,,,,,0,0,0,0
2.00108E+11,2001,8,22,0,186,6,8.5922,81.196796,3,0,1,1,1,0,1,0,3,,19,99,186,,,,Liberation Tigers of Tamil Eelam (LTTE),0,,0,0,,6,8,,,0,0,0,8,0,0,1,3,,0,,,,,,,,,,,,,,0,0,0,0
2.00109E+11,2001,9,7,0,186,6,8.577826,81.218719,1,0,1,1,1,0,1,0,2,,4,36,186,14,71,186,Liberation Tigers of Tamil Eelam (LTTE),0,-99,0,0,,5,5,,,4,0,0,3,0,0,-9,,,0,,,,,,,,,,,,,,0,0,0,0
2.00109E+11,2001,9,11,0,217,1,40.018464,-78.907197,1,1,1,1,1,1,1,1,4,2,14,67,217,2,21,217,Al-Qaida,0,4,0,1,6,10,,8,20,44,38,4,6,6,0,1,1,,1,40,38,1,,,,0,,,,,4,0,0,1,0,1
2.0011E+11,2001,10,29,0,186,6,7.619344,81.196796,2,0,1,1,1,0,1,0,2,,14,77,186,,,,Liberation Tigers of Tamil Eelam (LTTE),0,-99,0,0,,5,5,,,2,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,0,0,0,0
2.0011E+11,2001,10,30,0,186,6,8.457907,81.268402,1,0,1,1,1,0,1,0,3,,14,69,186,,,,Liberation Tigers of Tamil Eelam (LTTE),0,-99,0,0,,6,7,,,1,0,0,7,0,0,1,4,-99,0,,,,,,,,,,,,,,0,0,0,0
2.00111E+11,2001,11,10,0,186,6,8.457907,81.268402,1,0,1,1,1,0,1,0,2,,4,27,186,,,,Liberation Tigers of Tamil Eelam (LTTE),0,,0,0,,5,5,,,8,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,0,0,0,0
2.00111E+11,2001,11,11,0,186,6,7.733107,81.68882,1,0,1,1,1,1,1,0,2,,3,22,186,,,,Liberation Tigers of Tamil Eelam (LTTE),0,20,0,0,,5,5,,,3,0,0,0,0,0,1,3,,0,,,,,,,,,,,,,,0,0,0,0
2.00111E+11,2001,11,11,0,186,6,7.733107,81.68882,1,0,1,1,1,1,1,0,2,6,3,22,186,,,,Liberation Tigers of Tamil Eelam (LTTE),0,20,0,0,,5,5,,,0,0,0,0,0,0,1,3,,1,1,0,3,,,,0,,,,,2,1,0,0,0,0
2.00112E+11,2001,12,1,0,186,6,7.843164,81.548239,1,0,1,1,1,0,1,0,6,,14,68,186,,,,Liberation Tigers of Tamil Eelam (LTTE),0,-99,0,0,,13,,,,2,0,0,0,0,0,0,,,1,2,0,,-99,,,0,,,,,4,,0,0,0,0
2.00112E+11,2001,12,22,0,69,8,48.856644,2.34233,1,0,1,1,1,0,0,1,3,8,6,42,217,,,,Al-Qaida,0,1,1,0,,6,13,,,0,0,0,1,1,0,0,,,0,,,,,,,,,,,,,,0,1,1,1
2.00204E+11,2002,4,8,0,4,6,34.417122,70.449593,1,0,1,1,1,0,0,0,3,,2,18,4,14,67,4,Al-Qaida,0,,0,1,2,6,16,,,10,0,0,80,0,0,0,,,0,,,,,,,,,,,,,,0,1,0,1
2.00204E+11,2002,4,11,0,208,10,33.819136,10.855024,1,0,1,1,1,0,1,1,3,,15,86,208,18,96,75,Al-Qaida,0,1,0,1,8,6,15,,,21,0,1,30,0,0,1,2,,0,,,,,,,,,,,,,,0,1,1,1
2.00204E+11,2002,4,16,0,228,10,15.325443,44.211895,1,0,1,1,1,0,1,0,3,,2,21,228,,,,Sympathizers of Al-Qaida Organization,0,,0,1,10,6,16,,,0,0,0,0,0,0,1,4,,0,,,,,,,,,,,,,,0,0,0,0
2.00205E+11,2002,5,9,0,228,10,15.325443,44.211895,1,0,1,1,1,0,1,0,3,,2,17,228,,,,Sympathizers of Al-Qaida Organization,0,,0,1,10,6,16,,,0,0,0,0,0,0,-9,4,,0,,,,,,,,,,,,,,0,0,0,0
2.00206E+11,2002,6,27,0,4,6,31.002735,66.405617,1,0,1,1,1,0,1,0,3,,4,27,4,,,,Al-Qaida,0,,0,-9,,6,11,,,19,0,0,24,0,0,-9,4,,0,,,,,,,,,,,,,,0,1,0,1
2.00208E+11,2002,8,0,0,4,6,33.542622,68.415329,1,0,1,1,1,0,1,0,3,,8,49,4,,,,Taliban,0,-99,0,1,9,6,16,,,0,0,0,0,0,0,1,4,,0,,,,,,,,,,,,,,0,0,0,0
2.00302E+11,2003,2,7,0,186,6,8.885503,80.276733,4,0,1,1,1,0,1,1,3,,7,47,999,,,,Liberation Tigers of Tamil Eelam (LTTE),0,3,0,1,9,6,15,,,3,0,3,0,0,0,1,3,,0,,,,,,,,,,,,,,0,1,1,1
2.00304E+11,2003,4,22,0,186,6,8.403497,81.324814,1,0,1,1,1,0,1,0,2,,14,69,186,,,,Liberation Tigers of Tamil Eelam (LTTE),0,-99,0,0,,5,5,9,23,1,0,0,1,0,0,0,,,0,,,,,,,,,,,,,,0,0,0,0
2.00305E+11,2003,5,2,0,4,6,32.322649,65.118402,1,0,1,1,1,0,1,0,3,,21,107,4,,,,Taliban,0,,60,0,,6,11,,,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,0,0,0,0
